,Cumulative Daily Returns,IBOV,CDI
2016-08-05,1.7697701110579027,1.3593201159857642,1.0813936640004191
2016-08-08,1.8088006290452598,1.358707183101915,1.0819617309060552
2016-08-09,1.7986203992462626,1.3599801975529866,1.0825300962229174
2016-08-10,1.7263790822647955,1.3418515287960615,1.0830987601077642
2016-08-11,1.753265872038093,1.3743841203234433,1.0836677227174365
2016-08-12,1.7620389178589495,1.3743369716400702,1.0842369842088573
2016-08-15,1.852052562762881,1.3943280133902294,1.084806544739032
2016-08-16,1.8288546048256071,1.3874678799594553,1.085376404465049
2016-08-17,1.8497155087169896,1.3985242462104277,1.0859465635440784
2016-08-18,1.847788496300365,1.3947995002239593,1.0865170221333738
2016-08-19,1.8497159262564373,1.3932200193309632,1.0870877803902705
2016-08-22,1.7997890454586734,1.362149036988145,1.0876588384721873
2016-08-23,1.8210051850092035,1.3677833046512204,1.088230196536625
2016-08-24,1.847822846307283,1.360663853461895,1.0888018547411678
2016-08-25,1.8671947738488188,1.3607581508286408,1.0893738132434818
2016-08-26,1.8723405590107893,1.3606167047785218,1.0899460722013168
2016-08-29,1.920100454124657,1.3816921662462602,1.0905186317725049
2016-08-30,1.8921106930780986,1.3808670642872325,1.0910914921149613
2016-08-31,1.8881949064678378,1.364977957990526,1.0916646533866843
2016-09-01,1.88451273756281,1.3728753624555061,1.0922381157457548
2016-09-02,1.9664450942360179,1.4054079539828876,1.0928118793503372
2016-09-06,1.94819695148781,1.4175015912680666,1.0939603109291096
2016-09-08,1.9264855634975282,1.419929748461777,1.0945349792200438
2016-09-09,1.8255076902146836,1.3673118178174901,1.0951099493899779
2016-09-12,1.82620133429636,1.381126382045784,1.095685221597492
2016-09-13,1.7109314202985328,1.3395176689690966,1.0962607960012494
2016-09-14,1.7185579884403865,1.3451283622904857,1.0968366727599967
2016-09-15,1.718482484556858,1.3651665527240178,1.0974128520325643
2016-09-16,1.7017330595836977,1.3456234234659024,1.0979893339778655
2016-09-19,1.7109710944226655,1.3519884957212596,1.0985661187548974
2016-09-20,1.739876014926255,1.3610881916122517,1.0991432065227404
2016-09-21,1.7606858961608869,1.3766001084419743,1.0997205974405588
2016-09-22,1.8047800881323817,1.3907447134538795,1.1002982916676003
2016-09-23,1.8020315750601672,1.3837431339729864,1.1008762893631963
2016-09-26,1.7808024793272925,1.3685848322685614,1.1014545906867617
2016-09-27,1.7891406125510518,1.3763172163417363,1.1020331957977954
2016-09-28,1.815858220025006,1.3992786251443954,1.10261210485588
2016-09-29,1.803383098923805,1.3755864117494543,1.1031913180206818
2016-09-30,1.8144024350282775,1.3759636012164382,1.1037708354519513
2016-10-03,1.8399520530471418,1.4017539310214784,1.1043506573095225
2016-10-04,1.852392791694932,1.3988778613357242,1.1049307837533138
2016-10-05,1.8815139158411054,1.4204483839788795,1.1055112149433273
2016-10-06,1.8511369630824228,1.4296423772366178,1.1060919510396492
2016-10-07,1.823873496512437,1.440604446120844,1.1066729922024499
2016-10-10,1.82636160413782,1.4537825031236022,1.1072543385919837
2016-10-11,1.7933315246450967,1.4385534783941178,1.1078359903685895
2016-10-13,1.8349859676309086,1.440840189537709,1.10841794769269
2016-10-14,1.8401964108186097,1.4561163629505667,1.1090002107247925
2016-10-17,1.869584191980346,1.4780169263773328,1.1095827796254882
2016-10-18,1.8801741504681526,1.5036186614488811,1.1101656545554532
2016-10-19,1.8663205022165572,1.497112143143405,1.1107488356754478
2016-10-20,1.9049626732445837,1.5049388245833255,1.1113226485239578
2016-10-21,1.8907903036587081,1.5113038968386827,1.1118967578041854
2016-10-24,1.8907661182592892,1.5101723284377302,1.1124711636692672
2016-10-25,1.89430549793846,1.5055989061505477,1.113045866272419
2016-10-26,1.7250008279464308,1.5046559324830875,1.1136208657669353
2016-10-27,1.7553114048167053,1.5146514533581672,1.1141961623061907
2016-10-28,1.731967687547694,1.5160187651759844,1.114771756043638
2016-10-31,1.7921650130106572,1.5305641339965603,1.1153476471328103
2016-11-01,1.7921639238734999,1.4928687616398335,1.1159238357273191
2016-11-03,1.7248646355448922,1.4557155991418962,1.116500321980856
2016-11-04,1.6979779632595555,1.4521322992055468,1.1170771060471913
2016-11-07,1.820966349343911,1.5099837337042386,1.1176541880801754
2016-11-08,1.842905168202155,1.5124826139230083,1.1182315682337376
2016-11-09,1.829639390091015,1.4912657064051507,1.1188092466618873
2016-11-10,1.733377308960101,1.4427732855560027,1.119387223518713
2016-11-11,1.710297685742609,1.3952238383743152,1.119965498958383
2016-11-14,1.7440752147017624,1.4063745019920337,1.120544073135145
2016-11-16,1.647605576120218,1.4323534265305662,1.1211229462033268
2016-11-17,1.616265496833959,1.4090384026026093,1.1217021183173355
2016-11-18,1.6415483956991386,1.413564676206419,1.1222815896316582
2016-11-21,1.6735223586035564,1.4396850467950701,1.1228613603008621
2016-11-22,1.7865120689660536,1.4605247648459438,1.1234414304795937
2016-11-23,1.7782670953260111,1.461279143779912,1.1240218003225795
2016-11-25,1.7712200577304678,1.4512128998797729,1.1251834396206204
2016-11-28,1.8161580324167867,1.481765246705488,1.1257647093855285
2016-11-29,1.72135997149961,1.43772837643509,1.1263462794343972
2016-11-30,1.7296550288168844,1.4593931964449915,1.1269281499223531
2016-12-01,1.6462598610867238,1.4028383507390578,1.1275004941911357
2016-12-02,1.657919571013823,1.4219099931634431,1.1280731291421255
2016-12-05,1.7113987413032707,1.4105000117871729,1.1286460549229542
2016-12-06,1.7136306728850685,1.4401093849454274,1.1292192716813285
2016-12-07,1.7008384981634568,1.4477946203352292,1.12979277956503
2016-12-08,1.7008412962161248,1.4304203305122725,1.1303665787219155
2016-12-09,1.709173294484787,1.426271246375447,1.1309406692999169
2016-12-12,1.7493621145751392,1.395105966665883,1.131515051447041
2016-12-13,1.7740604572959142,1.397510549517907,1.1320897253113698
2016-12-14,1.7685428045511626,1.3723095782550294,1.132664691041061
2016-12-15,1.7874808324728715,1.376647257125347,1.133239948784347
2016-12-16,1.7796484638558547,1.3764822367335414,1.1338154986895357
2016-12-19,1.7071328315242116,1.3463542280581837,1.1343913409050101
2016-12-20,1.7176537161194463,1.3574813173342157,1.134967475579229
2016-12-21,1.743144612211928,1.3589900752021522,1.1355439028607262
2016-12-22,1.7004640271195057,1.3497489332610408,1.136120622898111
2016-12-23,1.6969774679277634,1.3658266342912395,1.1366976358400687
2016-12-27,1.7177206232047053,1.383743133972986,1.1378525410328184
2016-12-28,1.7687861221539294,1.4093212947028475,1.1384304335813582
2016-12-29,1.7806430365702133,1.4198118767533439,1.1390086196299656
